,_links,awayTeamName,date,homeTeamName,matchday,odds,result,status,real_timestamp,weekday,startingHour,goalsAwayTeam,goalsHomeTeam,halfTime,outcome
198,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153420'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/665'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/718'}}",Go Ahead Eagles Deventer,2017-02-17T19:00:00Z,Roda JC Kerkrade,23,"{'homeWin': 2.0, 'draw': 3.4, 'awayWin': 3.8}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-17 19:00:00,4,19,0,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",1
199,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153419'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/666'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/673'}}",SC Heerenveen,2017-02-18T17:30:00Z,FC Twente Enschede,23,"{'homeWin': 2.15, 'draw': 3.4, 'awayWin': 3.25}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-18 17:30:00,5,17,0,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",1
200,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153417'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/674'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/667'}}",NEC Nijmegen,2017-02-18T18:45:00Z,PSV Eindhoven,23,"{'homeWin': 1.11, 'draw': 9.0, 'awayWin': 21.0}","{'goalsHomeTeam': 3, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",FINISHED,2017-02-18 18:45:00,5,18,1,3,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",1
201,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153415'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/671'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/670'}}",Excelsior,2017-02-18T18:45:00Z,Heracles Almelo,23,"{'homeWin': 2.0, 'draw': 3.5, 'awayWin': 3.5}","{'goalsHomeTeam': 4, 'goalsAwayTeam': 0, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-18 18:45:00,5,18,0,4,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
202,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153416'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/676'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/684'}}",PEC Zwolle,2017-02-18T19:45:00Z,FC Utrecht,23,"{'homeWin': 1.7, 'draw': 3.8, 'awayWin': 4.6}","{'goalsHomeTeam': 3, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 0}}",FINISHED,2017-02-18 19:45:00,5,19,1,3,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 0}",1
203,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153418'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/672'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/682'}}",AZ Alkmaar,2017-02-19T11:30:00Z,Willem II Tilburg,23,"{'homeWin': 3.1, 'draw': 3.3, 'awayWin': 2.2}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-19 11:30:00,6,11,1,1,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",3
204,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153608'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/1085'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/677'}}",FC Groningen,2017-02-19T13:30:00Z,Sparta Rotterdam,23,"{'homeWin': 2.6, 'draw': 3.3, 'awayWin': 2.62}","{'goalsHomeTeam': 2, 'goalsAwayTeam': 2, 'halfTime': {'goalsHomeTeam': 2, 'goalsAwayTeam': 2}}",FINISHED,2017-02-19 13:30:00,6,13,2,2,"{'goalsHomeTeam': 2, 'goalsAwayTeam': 2}",3
205,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153414'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/679'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/678'}}",Ajax Amsterdam,2017-02-19T13:30:00Z,Vitesse Arnhem,23,"{'homeWin': 4.8, 'draw': 3.6, 'awayWin': 1.7}","{'goalsHomeTeam': 0, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 1}}",FINISHED,2017-02-19 13:30:00,6,13,1,0,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 1}",2
206,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153413'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/680'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/675'}}",Feyenoord Rotterdam,2017-02-19T15:45:00Z,ADO Den Haag,23,"{'homeWin': 11.0, 'draw': 5.0, 'awayWin': 1.28}","{'goalsHomeTeam': 0, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 0, 'goalsAwayTeam': 0}}",FINISHED,2017-02-19 15:45:00,6,15,1,0,"{'goalsHomeTeam': 0, 'goalsAwayTeam': 0}",2
207,"{'self': {'href': 'http://api.football-data.org/v1/fixtures/153412'}, 'competition': {'href': 'http://api.football-data.org/v1/competitions/433'}, 'homeTeam': {'href': 'http://api.football-data.org/v1/teams/680'}, 'awayTeam': {'href': 'http://api.football-data.org/v1/teams/666'}}",FC Twente Enschede,2017-02-24T19:00:00Z,ADO Den Haag,24,"{'homeWin': 3.4, 'draw': 3.4, 'awayWin': 2.1}","{'goalsHomeTeam': 1, 'goalsAwayTeam': 1, 'halfTime': {'goalsHomeTeam': 1, 'goalsAwayTeam': 1}}",FINISHED,2017-02-24 19:00:00,4,19,1,1,"{'goalsHomeTeam': 1, 'goalsAwayTeam': 1}",3
